gpu,task,concurrency,baseline_tps,eagle3_tps,speedup_actual,speedup_theoretical,acceptance_rate,overhead_vs_theory_pct
A100,chat,1,84.86,110.7,1.305,1.65,0.194,21.0
A100,chat,4,90.87,136.26,1.5,1.927,0.302,22.2
A100,chat,8,87.62,173.15,1.976,2.054,0.358,3.8
A100,chat,16,84.54,151.08,1.787,2.13,0.394,16.1
A100,chat,32,72.52,115.4,1.591,2.181,0.419,27.0
A100,code,1,92.44,264.96,2.866,2.194,0.426,-30.6
A100,code,4,90.84,242.13,2.665,2.208,0.433,-20.7
A100,code,8,89.11,211.64,2.375,2.235,0.447,-6.3
A100,code,16,85.06,181.52,2.134,2.274,0.468,6.2
A100,code,32,73.53,132.32,1.799,2.325,0.495,22.6
A100,summarization,1,90.45,210.5,2.327,2.34,0.504,0.5
A100,summarization,4,87.55,164.39,1.878,2.337,0.502,19.6
A100,summarization,8,85.19,150.4,1.765,2.331,0.499,24.3
A100,summarization,16,78.03,120.96,1.55,2.322,0.494,33.3
A100,summarization,32,64.48,85.48,1.326,2.306,0.485,42.5
L4,chat,1,16.81,25.28,1.504,1.66,0.198,9.4
L4,chat,4,16.19,34.36,2.123,1.934,0.304,-9.8
L4,chat,8,15.93,35.88,2.253,2.065,0.363,-9.1
L4,chat,16,15.56,35.47,2.279,2.138,0.398,-6.6
L4,chat,32,13.71,25.66,1.872,2.185,0.421,14.3
L4,code,1,16.88,48.62,2.881,2.197,0.427,-31.1
L4,code,4,16.14,46.9,2.905,2.211,0.434,-31.4
L4,code,8,15.88,44.29,2.789,2.238,0.448,-24.6
L4,code,16,15.35,40.28,2.624,2.278,0.469,-15.2
L4,code,32,13.6,28.69,2.11,2.325,0.496,9.3
L4,summarization,1,16.73,40.08,2.396,2.34,0.504,-2.4
L4,summarization,4,15.82,31.69,2.003,2.336,0.502,14.3
L4,summarization,8,15.55,32.65,2.1,2.331,0.499,9.9
L4,summarization,16,14.55,27.73,1.906,2.323,0.494,18.0
L4,summarization,32,12.41,19.54,1.574,2.307,0.485,31.8
